,artist_genre,artist_names
0,pop,107610
1,trap latino,40392
2,latin,34474
3,reggaeton,33662
4,dance pop,31377
5,rap,19871
6,uk pop,17790
7,k-pop,15272
8,canadian pop,14007
9,hip hop,9630
10,reggaeton colombiano,8903
11,pop rap,8743
12,german hip hop,8521
13,trap,8477
14,latin pop,8472
15,pop dance,7472
16,melodic rap,7364
17,tropical house,6754
18,chicago rap,6380
19,k-pop boy group,6323
20,canadian contemporary r&b,6282
21,latin hip hop,6246
22,j-pop,6231
23,australian hip hop,6224
24,israeli pop,6030
25,trap argentino,5795
26,edm,5748
27,reggaeton flow,5743
28,r&b,5698
29,puerto rican pop,5697
30,cantopop,5617
31,modern rock,5536
32,danish pop,5384
33,mandopop,5326
34,greek trap,5243
35,indonesian pop,5126
36,arrocha,5052
37,brooklyn drill,4974
38,electropop,4889
39,italian pop,4853
40,russian hip hop,4566
41,rock,4513
42,thai pop,4431
43,slap house,4414
44,dutch pop,4376
45,post-teen pop,4375
46,polish hip hop,4142
47,egyptian hip hop,4046
48,lgbtq+ hip hop,4038
49,colombian pop,4001
